"rowid" "kepid" "kepoi.Name" "koi.period" "koi.period.err1" "koi.period.err2" "koi.duration" "koi.duration.err1" "koi.duration.err2" "koi.depth" "koi.depth.err1" "koi.depth.err2" "koi.ror" "koi.ror.err1" "koi.ror.err2" "koi.srho" "koi.srho.err1" "koi.srho.err2" "koi.prad" "koi.prad.err1" "koi.prad.err2" "koi.insol" "koi.insol.err1" "koi.insol.err2" "koi.steff" "koi.steff.err1" "koi.steff.err2" "koi.slogg" "koi.slogg.err1" "koi.slogg.err2" "koi.srad" "koi.srad.err1" "koi.srad.err2" "koi.smass" "koi.smass.err1" "koi.smass.err2"
738 4270253 K00551.01 11.63701734 3.19e-05 -3.19e-05 3.35 0.0758 -0.0758 647.3 20.1 -20.1 0.023182 0.000798 -0.00042 2.75072 0.27443 -0.82198 2.39 0.9 -0.21 92.5 102.95 -24.89 5888.0 159.0 -194.0 4.504 0.038 -0.278 0.944 0.357 -0.081 1.037 0.131 -0.128
761 7595157 K00568.01 3.383538066 5.11e-06 -5.11e-06 1.4365 0.0442 -0.0442 272.4 8.8 -8.8 0.014902 0.000604 -0.000285 9.97929 0.27184 -4.52953 1.33 0.4 -0.09 285.94 253.54 -63.31 5438.0 157.0 -139.0 4.574 0.023 -0.204 0.82 0.244 -0.058 0.92 0.066 -0.09
771 8193178 K00572.01 10.64022272 2.917e-05 -2.917e-05 5.4357 0.088 -0.088 465.9 9.1 -9.1 0.02153 0.0 -0.001841 0.17649 0.34922 -0.07531 2.58 0.85 -0.46 161.98 156.75 -65.25 5945.0 166.0 -170.0 4.308 0.168 -0.219 1.099 0.36 -0.199 0.896 0.138 -0.08
775 8355239 K00574.01 20.13488968 3.555e-05 -3.555e-05 3.6754 0.0637 -0.0637 1208.0 20.6 -20.6 0.034056 0.003264 -0.002471 1.45819 2.17059 -0.04411 2.81 0.6 -0.21 20.57 14.13 -4.71 5228.0 175.0 -137.0 4.6 0.028 -0.132 0.755 0.163 -0.056 0.836 0.084 -0.093
783 8616637 K00579.02 3.763042361 5.822e-06 -5.822e-06 1.5147 0.0414 -0.0414 361.3 10.5 -10.5 0.01705 0.000641 -0.000435 9.62119 0.52205 -3.73742 1.46 0.36 -0.1 204.26 156.99 -45.57 5239.0 171.0 -135.0 4.585 0.026 -0.159 0.785 0.194 -0.056 0.868 0.075 -0.086
823 4832837 K00605.02 5.06549681 3.379e-05 -3.379e-05 2.334 0.166 -0.166 151.0 13.4 -13.4 0.011499 0.000346 -0.000882 2.20541 1.91766 -0.32004 0.7 0.12 -0.11 29.14 27.02 -10.09 3941.0 369.0 -73.0 4.705 0.097 -0.097 0.56 0.09 -0.09 0.58 0.09 -0.09
853 4478168 K00626.01 14.58649607 2.876e-05 -2.876e-05 4.0393 0.0561 -0.0561 391.3 8.4 -8.4 0.018484 0.000189 -0.000645 1.45262 0.6518 -0.14265 2.05 0.32 -0.11 93.38 39.45 -16.64 6157.0 92.0 -129.0 4.449 0.029 -0.124 1.014 0.16 -0.055 1.05 0.044 -0.063
855 4563268 K00627.01 7.75192492 1.063e-05 -1.063e-05 3.4849 0.0354 -0.0354 406.0 5.5 -5.5 0.018523 0.000323 -0.000304 1.46273 0.21965 -0.31905 2.17 0.5 -0.1 215.38 133.82 -36.8 6077.0 98.0 -135.0 4.444 0.023 -0.174 1.072 0.25 -0.051 1.165 0.095 -0.094
879 5531694 K00647.02 8.1134713 0.0001919 -0.0001919 4.995 0.605 -0.605 43.9 5.2 -5.2 0.006246 0.000294 -0.000523 0.38175 0.40946 -0.20636 0.74 0.32 -0.09 289.18 360.19 -92.58 6458.0 162.0 -209.0 4.378 0.082 -0.276 1.089 0.464 -0.13 1.028 0.172 -0.114
927 7509886 K00678.01 6.04045294 1.073e-05 -1.073e-05 2.0703 0.0467 -0.0467 273.2 7.1 -7.1 0.014845 0.000531 -0.000348 5.74212 0.56413 -1.92463 2.53 1.67 -1.13 409.76 880.97 -296.79 5244.0 180.0 -141.0 4.02 0.481 -0.331 1.56 1.028 -0.695 0.929 0.144 -0.088
929 7515212 K00679.01 31.80474045 9.869e-05 -9.869e-05 8.2336 0.0641 -0.0641 330.9 5.3 -5.3 0.01652 0.000239 -0.000213 0.48859 0.02887 -0.07204 2.06 0.51 -0.18 33.82 22.35 -7.9 5914.0 98.0 -129.0 4.38 0.06 -0.179 1.141 0.282 -0.097 1.137 0.096 -0.092
942 8480285 K00691.01 29.66629667 6.106e-05 -6.106e-05 8.4117 0.0537 -0.0537 660.7 7.7 -7.7 0.023503 0.000358 -0.000208 0.45103 0.00497 -0.08942 2.7 0.48 -0.3 37.22 18.29 -10.11 5955.0 114.0 -120.0 4.361 0.104 -0.138 1.053 0.185 -0.117 0.93 0.071 -0.065
