"rowid" "kepid" "kepoi.Name" "koi.period" "koi.period.err1" "koi.period.err2" "koi.duration" "koi.duration.err1" "koi.duration.err2" "koi.depth" "koi.depth.err1" "koi.depth.err2" "koi.ror" "koi.ror.err1" "koi.ror.err2" "koi.srho" "koi.srho.err1" "koi.srho.err2" "koi.prad" "koi.prad.err1" "koi.prad.err2" "koi.insol" "koi.insol.err1" "koi.insol.err2" "koi.steff" "koi.steff.err1" "koi.steff.err2" "koi.slogg" "koi.slogg.err1" "koi.slogg.err2" "koi.srad" "koi.srad.err1" "koi.srad.err2" "koi.smass" "koi.smass.err1" "koi.smass.err2"
1788 10794087 K01316.01 7.64972303 4.723e-05 -4.723e-05 6.576 0.125 -0.125 54.2 2.3 -2.3 0.008064 0.000322 -0.001406 0.02313 0.1712 -0.006 1.78 0.28 -0.41 592.33 270.75 -266.94 5720.0 121.0 -100.0 3.915 0.172 -0.101 2.024 0.319 -0.47 1.23 0.142 -0.168
1851 6936909 K01363.01 3.54653414 1.008e-05 -1.008e-05 2.2937 0.0804 -0.0804 484.0 20.7 -20.7 0.020142 0.000776 -0.000527 2.54384 0.38113 -0.94152 2.17 0.86 -0.2 510.26 603.81 -148.4 5993.0 167.0 -227.0 4.489 0.041 -0.288 0.986 0.393 -0.089 1.093 0.189 -0.148
1900 8874090 K01404.01 13.32388301 5.212e-05 -5.212e-05 3.2768 0.0961 -0.0961 892.5 37.7 -37.7 0.027567 0.000758 -0.000854 3.02198 0.92756 -0.58661 1.35 0.28 -0.27 4.82 4.77 -2.06 3750.0 315.0 -105.0 4.813 0.125 -0.125 0.45 0.09 -0.09 0.48 0.1 -0.1
2056 9821454 K01529.02 11.8691507 0.0002814 -0.0002814 4.556 0.369 -0.369 98.8 9.4 -9.4 0.009258 0.000553 -0.00045 0.89116 0.5064 -0.36292 1.02 0.44 -0.09 133.14 166.18 -37.13 6305.0 155.0 -201.0 4.458 0.048 -0.296 1.011 0.433 -0.095 1.066 0.199 -0.129
2144 5289854 K01593.01 9.69502544 5.085e-05 -5.085e-05 2.691 0.104 -0.104 593.0 36.6 -36.6 0.022303 0.000936 -0.00085 4.27803 0.36294 -1.80332 2.23 0.92 -0.2 114.06 142.04 -30.73 5896.0 172.0 -193.0 4.516 0.036 -0.298 0.914 0.379 -0.079 1.0 0.12 -0.125
2336 3967760 K01760.01 5.52417517 2.216e-05 -2.216e-05 2.7411 0.0997 -0.0997 520.5 26.8 -26.8 0.020679 0.000951 -0.000598 2.15948 0.51264 -0.6569 2.11 0.77 -0.18 193.67 209.39 -49.02 5497.0 160.0 -147.0 4.486 0.052 -0.258 0.936 0.339 -0.082 0.978 0.079 -0.083
2363 10005758 K01783.01 134.4786723 0.0001796 -0.0001796 5.8898 0.0642 -0.0642 4112.2 53.1 -53.1 0.071753 0.001226 -0.000938 0.88206 0.04133 -0.0682 7.5 2.65 -0.66 4.55 4.62 -1.19 6215.0 152.0 -181.0 4.488 0.044 -0.263 0.957 0.338 -0.084 1.027 0.131 -0.118
2417 2989404 K01824.02 1.67832545 2.009e-06 -2.009e-06 2.3339 0.0275 -0.0275 151.0 2.3 -2.3 0.011305 0.00023 -0.000143 1.16534 0.0055 -0.40867 1.7 1.03 -0.37 3180.75 5802.79 -1476.62 6277.0 150.0 -194.0 4.211 0.178 -0.312 1.378 0.831 -0.304 1.123 0.306 -0.145
2447 5080636 K01843.01 4.194496514 5.031e-06 -5.031e-06 1.8482 0.0438 -0.0438 745.0 16.4 -16.4 0.029387 0.000236 -0.00521 1.33241 4.07039 -0.53838 1.44 0.26 -0.16 19.17 9.52 -4.92 3584.0 69.0 -54.0 4.799 0.06 -0.09 0.45 0.08 -0.05 0.464 0.08 -0.05
2486 4939346 K01873.02 34.9176592 0.0006808 -0.0006808 9.874 0.355 -0.355 627.6 38.8 -38.8 0.028656 6.5e-05 -0.006537 0.02146 0.44007 -0.00263 3.33 1.38 -0.33 30.56 38.17 -9.7 6167.0 181.0 -259.0 4.444 0.047 -0.273 1.064 0.442 -0.106 1.149 0.216 -0.165
2506 11074178 K01889.02 9.18186435 6.254e-05 -6.254e-05 3.396 0.231 -0.231 326.4 23.0 -23.0 0.016676 0.000901 -0.000584 1.67063 0.71832 -0.56619 1.55 0.67 -0.12 99.6 128.1 -23.69 5735.0 163.0 -149.0 4.548 0.03 -0.298 0.852 0.366 -0.068 0.934 0.097 -0.098
2509 8680979 K01891.02 8.25981532 4.818e-05 -4.818e-05 2.982 0.151 -0.151 327.0 20.0 -20.0 0.016121 0.000987 -0.000407 2.75123 0.35351 -1.05927 1.31 0.21 -0.1 60.12 31.7 -13.63 5108.0 164.0 -130.0 4.608 0.027 -0.101 0.743 0.119 -0.055 0.825 0.072 -0.092
2520 7047922 K01899.02 10.5225498 0.0002269 -0.0002269 3.797 0.505 -0.505 64.3 9.6 -9.6 0.007393 0.000662 -0.000592 1.60585 0.50795 -1.56976 0.95 0.5 -0.17 213.96 385.37 -109.64 6327.0 301.0 -493.0 4.327 0.131 -0.295 1.175 0.617 -0.21 1.064 0.277 -0.158
2531 5706966 K01908.01 12.55109333 3.106e-05 -3.106e-05 3.2021 0.0642 -0.0642 554.5 15.7 -15.7 0.02297 0.000285 -0.002298 1.36406 1.84882 -0.13526 1.46 0.15 -0.13 11.52 3.66 -2.7 4159.0 94.0 -78.0 4.68 0.034 -0.053 0.583 0.057 -0.053 0.589 0.058 -0.053
